名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
焼肉すどう 春吉,33.589672,130.406139,餐飲,福岡,中央區・春吉,"福岡評價最高的燒肉系列店之一，春吉在天神與中洲之間。
⚠️ 需訂位。
食べログ 3.92",google,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%81%99%E3%81%A9%E3%81%86%20%E6%98%A5%E5%90%89%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E6%98%A5%E5%90%89
田中田式海鮮食堂 魚忠,33.585405,130.397749,餐飲,福岡,中央區・天神,"評分 3.76 但走食堂路線，午餐定食平價——是這份清單裡少數「高分又好進去」的店。
價位：午餐約 ¥1,000–2,000
食べログ 3.76",google,https://www.google.com/maps/search/?api=1&query=%E7%94%B0%E4%B8%AD%E7%94%B0%E5%BC%8F%E6%B5%B7%E9%AE%AE%E9%A3%9F%E5%A0%82%20%E9%AD%9A%E5%BF%A0%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
磯ぎよし（天神本店）,33.592277,130.394411,餐飲,福岡,中央區・天神,"磯ぎよし 天神本店
福岡最有名的海鮮居酒屋之一，玄界灘當日漁獲，能吃到台灣少見的生鯖魚（生さば）。
⚠️ 務必訂位，人均約 ¥5,000–8,000。冬天是鯖魚與河豚的季節。
價位：約 ¥5,000–8,000
營業：17:00–23:00
建議停留：2 小時",google,https://www.google.com/maps/search/?api=1&query=%E7%A3%AF%E3%81%8E%E3%82%88%E3%81%97%20%E5%A4%A9%E7%A5%9E%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
福吉漁港 牡蠣小屋,33.505236,130.084537,餐飲,福岡,糸島市,"JR 筑肥線福吉駅步行約 15 分就到，是少數不用開車也能去的牡蠣小屋，適合 JR 為主的行程。
店家數比岐志少但免轉車；博多搭筑肥線約 70 分（部分班次需在姪濱轉車）。會期約 10 月底–3 月底，2 月正季。⚠️ 定休為「不定休」，出發前一定要打電話確認當天有開。🎁 平日＋搭電車來店多半有一杯免費飲料（生啤小杯或軟性飲料）的優惠，2/2 是週二又是搭 JR，記得問。油煙重，別穿好衣服。
價位：牡蠣一籃約 ¥1,000
營業：09:00–17:00（烤牡蠣 10:00 起）
建議停留：1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%90%89%E6%BC%81%E6%B8%AF%20%E7%89%A1%E8%A0%A3%E5%B0%8F%E5%B1%8B%20%E7%B3%B8%E5%B3%B6%E5%B8%82
立花うどん,33.168283,130.417042,餐飲,福岡,柳川市,"柳川的烏龍麵名店，鰻魚吃不下或預算有限時的選擇。
價位：約 ¥500–900
食べログ 3.56",nominatim,https://www.google.com/maps/search/?api=1&query=%E7%AB%8B%E8%8A%B1%E3%81%86%E3%81%A9%E3%82%93%20%E6%9F%B3%E5%B7%9D%E5%B8%82
糸島ほたる,33.584572,130.214324,餐飲,福岡,糸島市,"糸島的居酒屋兼海鮮食堂，當地評價高。
食べログ 3.61",google,https://www.google.com/maps/search/?api=1&query=%E7%B3%B8%E5%B3%B6%E3%81%BB%E3%81%9F%E3%82%8B%20%E7%B3%B8%E5%B3%B6%E5%B8%82
糸島食堂 本店,33.546476,130.171987,餐飲,福岡,糸島市,"海鮮丼專門店，糸島兜風路線上的定番午餐。
食べログ 3.53",google,https://www.google.com/maps/search/?api=1&query=%E7%B3%B8%E5%B3%B6%E9%A3%9F%E5%A0%82%20%E6%9C%AC%E5%BA%97%20%E7%B3%B8%E5%B3%B6%E5%B8%82
若松屋（鰻魚蒸籠飯）,33.158438,130.396033,餐飲,福岡,柳川市,"柳川 若松屋
創業於 1860 年代的柳川鰻魚老店，せいろ蒸し（蒸籠飯）是柳川鄉土料理的代表。
約 ¥3,500–5,000；用餐高峰要排隊，建議 11:30 前或 14:00 後。週三休。
價位：約 ¥3,500–5,000
營業：11:00–19:00（週三休）
建議停留：1 小時
食べログ 3.56",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%9F%B3%E5%B7%9D%20%E8%8B%A5%E6%9D%BE%E5%B1%8B%20%E6%9F%B3%E5%B7%9D%E5%B8%82
茶房きくち,33.52026,130.534,餐飲,福岡,太宰府市,"參道上可以坐下來吃現烤梅ヶ枝餅配抹茶的茶房。
食べログ 3.57",area,https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E6%88%BF%E3%81%8D%E3%81%8F%E3%81%A1%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
葉隠うどん,33.583609,130.424652,餐飲,福岡,博多區,"博多烏龍麵的代表老店，牛蒡天婦羅烏龍麵是必點。一碗 ¥500 上下卻排到第 5 名。
博多站南側，步行約 12 分；賣完就關。
價位：約 ¥500–800
食べログ 3.74",nominatim,https://www.google.com/maps/search/?api=1&query=%E8%91%89%E9%9A%A0%E3%81%86%E3%81%A9%E3%82%93%20%E5%8D%9A%E5%A4%9A%E5%8D%80
郷土料理 嗣味,33.580607,130.406553,餐飲,福岡,中央區・天神,"想「一次吃到福岡鄉土料理」又要品質的話，這家評分最高（3.96）。
⚠️ 需訂位。
食べログ 3.96",google,https://www.google.com/maps/search/?api=1&query=%E9%83%B7%E5%9C%9F%E6%96%99%E7%90%86%20%E5%97%A3%E5%91%B3%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
食事処マルタ活魚,33.549498,130.164079,餐飲,福岡,糸島市,"糸島活魚料理的代表，2/2 選 A 案吃完牡蠣小屋還有餘力時的另一站。
食べログ 3.62",google,https://www.google.com/maps/search/?api=1&query=%E9%A3%9F%E4%BA%8B%E5%87%A6%E3%83%9E%E3%83%AB%E3%82%BF%E6%B4%BB%E9%AD%9A%20%E7%B3%B8%E5%B3%B6%E5%B8%82
馳走なかむら,33.593293,130.404955,餐飲,福岡,博多區・中洲,"中洲地區食べログ排行前段（3.87）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.87",area,https://www.google.com/maps/search/?api=1&query=%E9%A6%B3%E8%B5%B0%E3%81%AA%E3%81%8B%E3%82%80%E3%82%89%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
鮨 さかい,33.591059,130.405508,餐飲,福岡,中央區・天神,"天神第 1 名，也是九州分數最高的壽司店之一（4.53）。
⚠️ 極難訂，通常要透過飯店禮賓或熟客介紹，人均數萬日圓。列在這裡是給你知道天花板在哪。
食べログ 4.53",google,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%95%E3%81%8B%E3%81%84%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
鮨 そえ島,33.590061,130.420179,餐飲,福岡,博多區・博多站,"博多地區食べログ排行前段（3.92）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.92",area,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%9D%E3%81%88%E5%B3%B6%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
鮨 安吉,33.590168,130.420068,餐飲,福岡,博多區・博多站,"博多地區食べログ排行前段（3.89）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.89",area,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E5%AE%89%E5%90%89%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
鮨しま,33.593826,130.379218,餐飲,福岡,中央區,"鮨しま 福岡
Halal Gourmet Japan 收錄的穆斯林友善壽司店——清真旅客想吃壽司時的選項。
⚠️ 為「友善」而非認證，需自行向店家確認食材與調味料（味醂與料理酒是壽司店常見的酒精來源）。
清真：友善",google,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%E3%81%97%E3%81%BE%20%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80
かにや 本店,32.742597,129.877419,餐飲,長崎,長崎市・銅座,"深夜營業的飯糰與關東煮老店，長崎的宵夜代表——看完燈會回程順路。
價位：約 ¥500–1,500
食べログ 3.66",google,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%AB%E3%82%84%20%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%8A%85%E5%BA%A7
アサクラ,33.167014,129.723066,餐飲,長崎,佐世保市,"アサクラ 佐世保
佐世保第 2 名，牛排與洋食老店。
食べログ 3.69",google,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%82%B5%E3%82%AF%E3%83%A9%20%E4%BD%90%E4%B8%96%E4%BF%9D%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
ガーデンテラス 花のれん,33.16611,129.72667,餐飲,長崎,佐世保市,"佐世保的日本料理與海鮮，比漢堡正式的選擇。
食べログ 3.60",google,https://www.google.com/maps/search/?api=1&query=%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%E3%83%86%E3%83%A9%E3%82%B9%20%E8%8A%B1%E3%81%AE%E3%82%8C%E3%82%93%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
ツル茶ん,32.743167,129.880696,餐飲,長崎,長崎市・思案橋,"1925 年創業、九州最古老的喫茶店。長崎名物「土耳其飯」（豬排＋咖哩飯＋義大利麵一盤）與吃得到的冰沙狀奶昔都是這裡的元祖。
約 ¥1,200–1,800；思案橋一帶，離濱町商店街步行 5 分。
價位：約 ¥1,200–1,800
營業：09:00–21:00
建議停留：1 小時
食べログ 3.63",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%84%E3%83%AB%E8%8C%B6%E3%82%93%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%80%9D%E6%A1%88%E6%A9%8B
ニッキー・アースティン 長崎駅前店,32.75275,129.86892,餐飲,長崎,長崎市・長崎駅,"長崎名物「土耳其飯」的代表店之一（食べログ 3.47），長崎駅前分店。一盤裡有豬排＋咖哩飯＋義大利麵。
⚠️ 土耳其飯含豬排，穆斯林旅客請避開。 距 Coruscant Hotel 長崎駅Ⅰ（已選定的那間）約 321m／步行約 4 分。座標是「長崎駅」街區概略位置（店家不在 OSM），導航請用 popup 的 Google Maps 連結。
建議停留：1–1.5 小時
食べログ 3.47",area,https://www.google.com/maps/search/?api=1&query=%E3%83%8B%E3%83%83%E3%82%AD%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%20%E9%95%B7%E5%B4%8E%E9%A7%85%E5%89%8D%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E9%A7%85
バーガーショップ あいかわ,33.12685,129.789695,餐飲,長崎,佐世保市,"佐世保漢堡的另一家高分店，與 BigMan、ヒカリ 並列。
食べログ 3.56",google,https://www.google.com/maps/search/?api=1&query=%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%20%E3%81%82%E3%81%84%E3%81%8B%E3%82%8F%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
ビスヌ ココウォーク長崎店,32.763986,129.865011,餐飲,長崎,長崎市・茂里町,"ビスヌ みらい長崎ココウォーク店
⭐ 長崎清真選項極少，這是其中最好找的一家——就在「みらい長崎ココウォーク」商場內，有素食選項。
⚠️ 長崎市的清真餐廳屈指可數，且多為印度／土耳其料理；長崎名物（強棒麵、角煮饅頭）幾乎都含豬肉與豬骨湯，清真旅客要有心理準備。建議出發前用 Halal Gourmet Japan 再查一次。
清真：友善",google,https://www.google.com/maps/search/?api=1&query=%E3%83%93%E3%82%B9%E3%83%8C%20%E3%81%BF%E3%82%89%E3%81%84%E9%95%B7%E5%B4%8E%E3%82%B3%E3%82%B3%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%AF%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E8%8C%82%E9%87%8C%E7%94%BA
ミサロッソ,33.181696,129.714765,餐飲,長崎,佐世保市,"佐世保第 1 名。佐世保是日本漢堡的發源地（美軍基地帶來的），這家是評分最高的一間。
食べログ 3.72",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%82%B5%E3%83%AD%E3%83%83%E3%82%BD%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
ミラン 大波止店,32.74699,129.872546,餐飲,長崎,長崎市・大波止,"大波止一帶的印度料理，就在軍艦島船碼頭附近——2/7 等船或下船後的清真選項。
⚠️ 為「對應」而非認證，請自行向店家確認。
清真：友善",google,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%83%A9%E3%83%B3%20%E5%A4%A7%E6%B3%A2%E6%AD%A2%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E6%B3%A2%E6%AD%A2
下町の洋食 時代屋,33.164744,129.835838,餐飲,長崎,佐世保市,"佐世保的老派洋食店，牛排與洋食。
食べログ 3.59",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E7%94%BA%E3%81%AE%E6%B4%8B%E9%A3%9F%20%E6%99%82%E4%BB%A3%E5%B1%8B%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
中華 大八 駅前店,32.75249,129.872902,餐飲,長崎,長崎市・長崎站,"長崎站前的強棒麵名店——你住 Coruscant（車站一帶），這家就在步行圈內。
食べログ 3.65",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%20%E5%A4%A7%E5%85%AB%20%E9%A7%85%E5%89%8D%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E7%AB%99
亜紗 本店,32.750477,129.876207,餐飲,長崎,長崎市,"長崎的居酒屋兼創作料理，海鮮評價高。
⚠️ 建議訂位。
食べログ 3.68",google,https://www.google.com/maps/search/?api=1&query=%E4%BA%9C%E7%B4%97%20%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82
佐世保バーガー BigMan 京町本店,33.16972,129.721739,餐飲,長崎,佐世保市,"佐世保漢堡最有名的一家，培根蛋漢堡是招牌——「佐世保バーガー」這個名號就是這類店打出來的。
價位：約 ¥700–1,200
食べログ 3.66",google,https://www.google.com/maps/search/?api=1&query=%E4%BD%90%E4%B8%96%E4%BF%9D%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC%20BigMan%20%E4%BA%AC%E7%94%BA%E6%9C%AC%E5%BA%97%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
共楽園,32.754869,129.862229,餐飲,長崎,長崎市・新地,"中華街裡當地人比觀光客多的一家，皿烏龍麵（炸細麵淋芡汁）的評價常被排在第一。
約 ¥1,000–1,800；店面不大，用餐時段要等。
價位：約 ¥1,000–1,800
營業：11:00–20:00
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%85%B1%E6%A5%BD%E5%9C%92%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%96%B0%E5%9C%B0
吉宗 本店,32.744,129.8783,餐飲,長崎,長崎市,"1866 年創業，長崎名物大碗茶碗蒸，配蒸壽司的「夫婦蒸」是經典組合。
約 ¥1,500–2,500；濱町商店街附近，木造町家建築。
價位：約 ¥1,500–2,500
營業：11:00–21:00
建議停留：1 小時",approx,https://www.google.com/maps/search/?api=1&query=%E5%90%89%E5%AE%97%20%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82
吉宗 濱町分店,32.744501,129.878794,餐飲,長崎,長崎市・濱町,"吉宗 浜町店
本店排隊時的替代選項，同樣的大碗茶碗蒸，位置就在濱町商店街裡。
約 ¥1,500–2,500。
價位：約 ¥1,500–2,500
營業：11:00–20:00
建議停留：1 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%90%89%E5%AE%97%20%E6%B5%9C%E7%94%BA%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%BF%B1%E7%94%BA
四海樓,32.73648,129.869759,餐飲,長崎,長崎市,"強棒麵的發源店，1899 年創業；5F 有強棒麵博物館，窗景看長崎港。
約 ¥1,300 起；用餐時段排隊。就在大浦天主堂下方。
價位：約 ¥1,300–2,500
營業：11:30–20:00
建議停留：1 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E6%B5%B7%E6%A8%93%20%E9%95%B7%E5%B4%8E%E5%B8%82
坂本屋（五島町）,32.748121,129.874367,餐飲,長崎,長崎市・五島町,"坂本屋
食べログ 3.60、旅館步行圈內分數最高的一家，做長崎鄉土（卓袱）料理的老舖。
⚠️ 鄉土料理老舖多為預約制、價位較高，務必先訂位並確認地址（長崎有同名店家）。 距 Coruscant Hotel 長崎駅Ⅰ（已選定的那間）約 328m／步行約 4 分。座標是「五島町」街區概略位置（店家不在 OSM），導航請用 popup 的 Google Maps 連結。
建議停留：1–1.5 小時
食べログ 3.60",google,https://www.google.com/maps/search/?api=1&query=%E5%9D%82%E6%9C%AC%E5%B1%8B%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E4%BA%94%E5%B3%B6%E7%94%BA
大阪屋 浜町店,32.743551,129.880504,餐飲,長崎,長崎市・濱町,"長崎市第 1 名，燒肉。就在濱町商店街——燈會逛完走過去就到。
⚠️ 需訂位，燈會期間尤其。
食べログ 3.85",google,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B1%8B%20%E6%B5%9C%E7%94%BA%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%BF%B1%E7%94%BA
大阪屋 長崎駅店,32.753257,129.869112,餐飲,長崎,長崎市・長崎駅,"食べログ 3.41 的牛料理・燒肉店，長崎駅店。想吃肉時最近的高分選擇。
⚠️ 與濱町的「大阪屋 浜町店」（3.85）是同系列不同店，訂位注意分店。 距 Coruscant Hotel 長崎駅Ⅰ（已選定的那間）約 274m／步行約 3 分。座標是「長崎駅」街區概略位置（店家不在 OSM），導航請用 popup 的 Google Maps 連結。
建議停留：1–1.5 小時
食べログ 3.41",google,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B1%8B%20%E9%95%B7%E5%B4%8E%E9%A7%85%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E9%A7%85
岩崎本舖（角煮饅頭）,32.742308,129.875961,餐飲,長崎,長崎市,"岩崎本舗
長崎名物角煮饅頭（東坡肉包）的代表店，中華街與各觀光點都有。
一個約 ¥450；可買冷凍包帶回台灣。
價位：約 ¥450／個
建議停留：15 分",google,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E5%B4%8E%E6%9C%AC%E8%88%97%20%E9%95%B7%E5%B4%8E%E5%B8%82
康楽,32.742663,129.879484,餐飲,長崎,長崎市,"長崎強棒麵評分最高的一家（3.69，比四海樓與江山樓都高），當地人的口袋名單。
⚠️ 店面小、營業時間短，賣完就關。
食べログ 3.69",google,https://www.google.com/maps/search/?api=1&query=%E5%BA%B7%E6%A5%BD%20%E9%95%B7%E5%B4%8E%E5%B8%82
思案橋ラーメン,32.743125,129.879104,餐飲,長崎,長崎市・思案橋,"思案橋的深夜食堂，喝完一輪後的收尾。
食べログ 3.60",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%80%9D%E6%A1%88%E6%A9%8B%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%80%9D%E6%A1%88%E6%A9%8B
桃若,32.742657,129.878801,餐飲,長崎,長崎市,"關東煮專門店排到長崎第 4 名——2 月的長崎夜裡最適合。
食べログ 3.71",google,https://www.google.com/maps/search/?api=1&query=%E6%A1%83%E8%8B%A5%20%E9%95%B7%E5%B4%8E%E5%B8%82
江山樓 中華街本店,32.741218,129.875803,餐飲,長崎,長崎市,"江山楼 中華街本店
中華街裡的老字號，特製強棒麵用料最豪華（魚翅、干貝）。
約 ¥1,500–3,000；燈會期間非常擠。
價位：約 ¥1,500–3,000
營業：11:00–20:00
建議停留：1 小時
食べログ 3.67",google,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E5%B1%B1%E6%A5%BC%20%E4%B8%AD%E8%8F%AF%E8%A1%97%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82
老李 台湾居酒屋 駅前店,32.750324,129.872741,餐飲,長崎,長崎市・長崎駅,"長崎駅前的台灣料理居酒屋（食べログ 3.31）。連續吃了幾天日式後想換口味時很實用。
⚠️ 與中華街的「老李 中華街店」是不同店。 距 Coruscant Hotel 長崎駅Ⅰ（已選定的那間）約 390m／步行約 5 分。座標是「長崎駅」街區概略位置（店家不在 OSM），導航請用 popup 的 Google Maps 連結。
建議停留：1–1.5 小時
食べログ 3.31",google,https://www.google.com/maps/search/?api=1&query=%E8%80%81%E6%9D%8E%20%E5%8F%B0%E6%B9%BE%E5%B1%85%E9%85%92%E5%B1%8B%20%E9%A7%85%E5%89%8D%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E9%A7%85
豪斯登堡 園內美食,33.084782,129.78627,餐飲,長崎,佐世保市,"ハウステンボス 園内レストラン
園區內有數十家餐廳，佐世保漢堡、起司專門店與チーズの城 都在裡面——不用出園也吃得到當地名物。
⚠️ 園內用餐不含在 1DAY 護照內，要另外付費。傍晚人潮集中，建議 13:00 前或 17:00 前吃完，把天黑後的時間全部留給燈海。
價位：約 ¥1,500–3,000
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%82%A6%E3%82%B9%E3%83%86%E3%83%B3%E3%83%9C%E3%82%B9%20%E5%9C%92%E5%86%85%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
長崎ぶたまん 桃太呂 長崎駅店,32.752837,129.869616,餐飲,長崎,長崎市・長崎駅,"長崎名物「豚まん」老舖桃太呂的長崎駅店（食べログ 3.31）。一個一口大、便宜，適合當宵夜或早餐。
⚠️ 只賣豚まん類，不是正餐；含豬肉。 距 Coruscant Hotel 長崎駅Ⅰ（已選定的那間）約 261m／步行約 3 分。座標是「長崎駅」街區概略位置（店家不在 OSM），導航請用 popup 的 Google Maps 連結。
建議停留：1–1.5 小時
食べログ 3.31",area,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E3%81%B6%E3%81%9F%E3%81%BE%E3%82%93%20%E6%A1%83%E5%A4%AA%E5%91%82%20%E9%95%B7%E5%B4%8E%E9%A7%85%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E9%A7%85
雲龍亭 銅座店,32.743219,129.877835,餐飲,長崎,長崎市・銅座,"長崎名物「一口餃子」的代表店，第 3 名。銅座就在思案橋旁，宵夜時段最熱鬧。
價位：約 ¥1,000
食べログ 3.72",area,https://www.google.com/maps/search/?api=1&query=%E9%9B%B2%E9%BE%8D%E4%BA%AD%20%E9%8A%85%E5%BA%A7%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%8A%85%E5%BA%A7
香蘭,33.16349,129.72658,餐飲,長崎,佐世保市,"香蘭 佐世保
佐世保的強棒麵名店——長崎縣內強棒麵不是只有長崎市，佐世保這家分數也很高。
食べログ 3.65",google,https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E8%98%AD%20%E4%BD%90%E4%B8%96%E4%BF%9D%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
魚店亜紗（大黑町）,32.752215,129.872586,餐飲,長崎,長崎市・大黒町,"魚店亜紗
長崎駅一帶評價最高的海鮮居酒屋（食べログ 3.56）。亜紗系列以魚料理見長，離旅館只 400m。
⚠️ 居酒屋型態，晚餐建議訂位。 距 Coruscant Hotel 長崎駅Ⅰ（已選定的那間）約 25m／步行約 1 分。座標是「大黒町」街區概略位置（店家不在 OSM），導航請用 popup 的 Google Maps 連結。
建議停留：1–1.5 小時
食べログ 3.56",area,https://www.google.com/maps/search/?api=1&query=%E9%AD%9A%E5%BA%97%E4%BA%9C%E7%B4%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E9%BB%92%E7%94%BA
鮨 重兵衛,33.173689,129.71961,餐飲,長崎,佐世保市,"佐世保評分最高的壽司店。
⚠️ 需訂位。
食べログ 3.69",google,https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E9%87%8D%E5%85%B5%E8%A1%9B%20%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82
